name,PFRID
Dezmon Patmon,/players/P/PatmDe00.htm
Kyle Rudolph,/players/R/RudoKy00.htm
Trey Sermon,/players/S/SermTr00.htm
J.J. Taylor,/players/T/TaylJJ01.htm
Cole Turner,/players/T/TurnCo00.htm
DJ Turner,/players/T/TurnDJ00.htm
Tylan Wallace,/players/W/WallTy00.htm
Juwann Winfree,/players/W/WinfJu00.htm
Michael Woods II,/players/W/WoodMi00.htm
Salvon Ahmed,/players/A/AhmeSa01.htm
Maurice Alexander,/players/A/AlexMa02.htm
Brandon Allen,/players/A/AlleBr00.htm
Miles Boykin,/players/B/BoykMi00.htm
Jalen Camp,/players/C/CampJa03.htm
Corey Clement,/players/C/ClemCo00.htm
Snoop Conner,/players/C/ConnSn00.htm
Troy Hairston,/players/H/HairTr00.htm
Jacob Harris,/players/H/HarrJa03.htm
Kevin Harris,/players/H/HarrKe01.htm
Kylin Hill,/players/H/HillKy00.htm
Brian Hoyer,/players/H/HoyeBr00.htm
David Johnson,/players/J/JohnDa08.htm
Jakob Johnson,/players/J/JohnJa12.htm
Tyron Johnson,/players/J/JohnTy03.htm
Marlon Mack,/players/M/MackMa00.htm
Sean McKeon,/players/M/McKeSe01.htm
Gardner Minshew II,/players/M/MinsGa00.htm
Jason Moore,/players/M/MoorJa02.htm
Devine Ozigbo,/players/O/OzigDe01.htm
Brock Purdy,/players/P/PurdBr00.htm
Amari Rodgers,/players/R/RodgAm00.htm
Mason Schreck,/players/S/SchrMa00.htm
Stone Smartt,/players/S/SmarSt00.htm
Keith Smith,/players/S/SmitKe03.htm
Pierre Strong,/players/S/StroPi00.htm
Tommy Sweeney,/players/S/SweeTo00.htm
Tyrod Taylor,/players/T/TaylTy00.htm
Jalen Tolbert,/players/T/TolbJa00.htm
Nick Vannett,/players/V/VannNi00.htm
Montrell Washington,/players/W/WashMo00.htm
Maxx Williams,/players/W/WillMa04.htm
Stephen Anderson,/players/A/AndeSt01.htm
Devin Asiasi,/players/A/AsiaDe00.htm
C.J. Beathard,/players/B/BeatC.00.htm
Trinity Benson,/players/B/BensTr00.htm
Giovani Bernard,/players/B/BernGi00.htm
Khari Blasingame,/players/B/BlasKh00.htm
C.J. Board,/players/B/BoarC.00.htm
Lynn Bowden Jr.,/players/B/BowdLy00.htm
Nick Boyle,/players/B/BoylNi00.htm
Trenton Cannon,/players/C/CannTr00.htm
Cethan Carter,/players/C/CartCe00.htm
Dan Chisena,/players/C/ChisDa00.htm
Chris Conley,/players/C/ConlCh00.htm
Pharoh Cooper,/players/C/CoopPh00.htm
Keke Coutee,/players/C/CoutKe00.htm
Chase Daniel,/players/D/DaniCh00.htm
Rico Dowdle,/players/D/DowdRi01.htm
Jacob Eason,/players/E/EasoJa00.htm
Alex Erickson,/players/E/EricAl01.htm
Demetric Felton,/players/F/FeltDe00.htm
Nick Foles ,/players/F/FoleNi00.htm
Feleipe Franks,/players/F/FranFe00.htm
Jake Funk,/players/F/FunkJa00.htm
